JournalNameInData,StandardJournalName,Publisher,ChiefEditor,PrintISSN,ElectronicISSN,ImpactFactor
Eur J Case Rep Intern Med,European Journal of Clinical Microbiology & Infectious Diseases,Springer,Laurent Poirel,"	0934-9723",1435-4373,2.722
Eur J Clin Microbiol Infect Dis,European Journal of Dentistry,Thieme Medical Publishers,Necdet Adanir,1305-7456,,
Eur J Dent,European Journal of Histochemistry,PagePress,Carlo Pellicciari,1121-760X,2039-6805,
Eur J Histochem,European Journal of Immunology,Wiley-VCH,,0014-2980,,
Eur J Immunol,European Journal of Microbiology and Immunology,,,2062-509X,2062-8633,
Eur J Microbiol Immunol (Bp),European Journal of Nuclear Medicine and Molecular Imaging,Springer,Arturo Chiti,1619-7070,1619-7089,6.522 
Eur J Nucl Med Mol Imaging,European Journal of Pediatrics,Springer,Peter de Winter,0340-6199,1432-1076,2.143
Eur J Pediatr,European Journal of Trauma and Emergency Surgery,Springer,Ingo Marzi,1863-9933,,1.453 
Eur J Trauma Emerg Surg,European Respiratory Journal ,European Respiratory Society,Martin Kolb,0903-1936,1399-3003,
Eur Respir J,European Spine Journal,Springer,Robert Gunzburg,0940-6719 ,1432-0932,2.87
Eur Spine J,EURASIP Journal on Bioinformatics and Systems Biology,,,,,
EURASIP J Bioinform Syst Biol,Eurosurveillance,ECDC,Ines Steffens,,1560-7917,
Euro Surveill,Eurosurveillance,ECDC,Ines Steffens,,1560-7917,
Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,European Journal of Medicinal Plants,Sciencedomain International,Marcello Iriti,,2231-0894,
European J Med Plants,European Journal of Clinical Investigation,John Wiley & Sons,Hendrik Nathoe,0014-2972,1365-2362,
European Journal of Clinical Investigation,European Journal of Immunology,Wiley-VCH,,0014-2980,,
European journal of immunology,European Journal of Nuclear Medicine and Molecular Imaging,Springer,Arturo Chiti,1619-7070,1619-7089,6.522
European Journal of Nuclear Medicine and Molecular Imaging,European Journal of Pharmaceutical Sciences  ,Elsevier,Martin Brandl,0928-0987,1879-0720,
European Journal of Pharmaceutical Sciences,European Radiology,Springer,Yves Menu,0938-7994,1432-1084,3.919
European Radiology,European Review for Medical and Pharmacological Sciences,Verduci Editore,A.V. GRECO & A. GASBARRINI,1128-3602,2284-0729,2.141
European review for medical and pharmacological sciences,Eurosurveillance,ECDC,Ines Steffens,,1560-7917,
Eurosurveillance,Evidence-Based Complementary and Alternative Medicine,Hindawi Publishing Corporation,,1741-427X,1741-4288,
Evid Based Complement Alternat Med,Evolutionary Applications, John Wiley & Sons,Louis Bernatchez,,1752-4571,
Evol Appl,Evolutionary Bioinformatics Online,Libertas Academica,Dennis Wall,,1176-9343,
Evol Bioinform Online,"Evolution, Medicine, and Public Health",Oxford University Press,Charles Nunn,,2050-6201,
Evol Med Public Health,Evolution,John Wiley & Sons,Tracey Chapman,0014-3820,1558-5646,
Evolution,EXCLI Journal,University of Mainz,J. G. Hengstler,,1611-2156,
EXCLI J,Experimental Dermatology,John Wiley & Sons,Ralf Paus & Maksim Plikus,,1600-0625,
Exp Dermatol,Experimental & Molecular Medicine  ,Nature Publishing Group,Dae-Myung Jue,1226-3613,2092-6413,
Exp Mol Med,Experimental Neurology,Elsevier,Ahmet Hoke,0014-4886,1090-2430,
Exp Neurol,Experimental and Therapeutic Medicine,Spandidos Publications,Demetrios A. Spandidos,1792-0981,1792-1015,
Exp Ther Med,Experimental and Translational Stroke Medicine,BioMed Central,,,2040-7378,
Exp Transl Stroke Med,Expert Opinion on Drug Delivery,Taylor and Francis Group,Uday Kompella,1742-5247,1744-7593,
Expert Opin Drug Deliv,Expert Review of Anti-infective Therapy  ,Taylor and Francis Group,,1478-7210,1744-8336,
Expert Rev Anti Infect Ther,Expert Reviews in Molecular Medicine,Cambridge University Press,Timothy M. Cox,,1462-3994,
Expert Rev Mol Med,Expert Review of Vaccines,Taylor and Francis Group,Samantha Wilkinson,1476-0584,1744-8395,
Expert Rev Vaccines,Eye,Nature Research,Sobha Sivaprasad,0950-222X,1476-5454,
Eye,Eye and Vision,Springer,Jia Qu,,2326-0254,3.854
Eye Vis (Lond),F1000 Biology Reports,Faculty of 1000 Ltd,,,1740-4118,
F1000 Biol Rep,F1000Prime Reports,Faculty of 1000 Ltd,,,2051-7599,
F1000Prime Rep,F1000 Research,Faculty of 1000 Ltd,,,2046-1402,
F1000Res,,,,,,
F1000Research,,,,,,
Fam Med Community Health,,,,,,
FASEB J,,,,,,
FEBS Lett,,,,,,
FEBS Open Bio,,,,,,
FEMS Microbiol Rev,,,,,,
Fibrogenesis Tissue Repair,,,,,,
Food Environ Virol,,,,,,
Food Nutr Res,,,,,,
Forensic Science International: Mind and Law,,,,,,
Front Aging Neurosci,,,,,,
Front Bioeng Biotechnol,,,,,,
Front Cell Dev Biol,,,,,,
Front Cell Infect Microbiol,,,,,,
Front Cell Neurosci,,,,,,
Front Chem,,,,,,
Front Endocrinol (Lausanne),,,,,,
Front Genet,,,,,,
Front Hum Neurosci,,,,,,
Front Immunol,,,,,,
Front Med (Lausanne),,,,,,
Front Microbiol,,,,,,
Front Mol Biosci,,,,,,
Front Mol Neurosci,,,,,,
Front Neural Circuits,,,,,,
Front Neuroanat,,,,,,
Front Neurol,,,,,,
Front Neurorobot,,,,,,
Front Neurosci,,,,,,
Front Oncol,,,,,,
Front Pediatr,,,,,,
Front Pharmacol,,,,,,
Front Physiol,,,,,,
Front Plant Sci,,,,,,
Front Psychol,,,,,,
Front Public Health,,,,,,
Front Synaptic Neurosci,,,,,,
Front Vet Sci,,,,,,
Front Zool,,,,,,
Frontiers in Microbiology,,,,,,
Future Microbiol,,,,,,
Future Virol,,,,,,
G3 (Bethesda),,,,,,
Gastroenterology,,,,,,
Gene Ther,,,,,,
Genes (Basel),,,,,,
Genes Immun,,,,,,
Genet Mol Biol,,,,,,
Genet Sel Evol,,,,,,
Genet Vaccines Ther,Genetics,,Mark Johnston,0016-6731,1943-2631,4.075
Genetics,,,,,,
Genom Data,,,,,,
Genome Announc,Genome Biology ,BioMed Central,Barbara Cheifet,1474-760X,1465-6906,13.214
Genome Biol,Genome Biology and Evolution,Oxford University Press,Laura A. Katz and Adam Eyer-Walker,1759-6653,,3.726
Genome Biol Evol,Canadian Journal of Genetics and Cytology,BioMed Central,Rabia Begum,1756-994X,,8.898
Genome Med,,,Taesung Park,,,
Genomics Inform,,,Jun Yu,,,6.597
Genomics Proteomics Bioinformatics,,OUP and BGI,Laurie Goodman,2047-217X,,4.688
Gigascience,,Wiley,Bruce R. Ransom and Helmut Kettenmann,,1098-1136,5.829
Glia,,SAGE,,,,
Glob Adv Health Med,Global Change Biology,Global Challeges,Steve Long,1079-5049,,
Glob Chall,Global Health,BMJ Global Health,Peter Byass,1654-9716,1654-9880,1.817
Glob Health Action,Global Health,Glob Health,Xingguang Chen,2397-0642,,
Glob Health Res Policy,Global Health Science and practice,JOhn Hopkins,Stephen Hodgins,2169-575X,,
Glob Health Sci Pract,Global Journal of Health science,Canadian Center of Science & Education,Trisha Dunning,1916-9736,1916-9744,
Glob J Health Sci,Global Pediatric Health,SAGE Publication Inc,Russel W Steele,2333-794X,2333-794X,
Glob Pediatr Health,Global Public Health,Taylor & Francis,Richard Parker,1744--1706,1744-1692,1.978
Glob Public Health,Global Social Policy,SAGE Publication Inc,Gerard Boychuk,1468-0181,1741-2803,
Glob Soc Policy,Global Biusecurity,Univercsity of New South Wales,Dr. Inglesby,2652-0036,,
Global Biosecurity,Global Health Journal,BMJ Global Health,Jonathan Fahey,2096-3947,2414-6447,
Global Health,Global Health Research and Policy,MBC,Zongfu Mao,,,
Global Health Research and Policy,International Social Work,Wiley- Blackwell,Ake Bergmark,1369-6866,,
Global Social Welfare,Glycobiology,Oxford University Press,Robert S,0959-6658,0959-6658,
Glycobiology,GMS Current Topics in Otorhinolaymgol Head Neck Surgery,German Society of Otorhinolaryngol,,1865-1011,,
GMS Curr Top Otorhinolaryngol Head Neck Surg,German Medical Science Hygiene and Ifection Control,German Medical Science GMS Publishing House,Axel Kramer,2196-5226,,
GMS Hyg Infect Control,Graefe Archive for Clinical and Experimental Ophthalmolog,Holtzbrinzk Springer Nture Publishing Group,,0721-832X,1435-702X,
Graefe's Archive for Clinical and Experimental Ophthalmology,Gut,MBJ Group,Emad El- Omar,0017-5749,1468-3288,
Gut,Gut Pathogens,Gut Pathogens,Niyaz Ahmed,1757-4749,,
Gut Pathog,Journal of Ferrata Storti Foundation,Ferrata Storti Foundation,Luca Malcovati,0390-6078,1592-8721,7.57
Haematologica,Harefuah,Israel Medical Association,Yehuda Shoenfeld,0017-7768,,0.17
Harefuah,Harm Reduction Journal,BioMed Central,Nick Crofts,1477-7517,,1.64
Harm Reduct J,Health Care Management Science,Kluwer Academic Publishers,Gregory Zarec,1386-9620,1572-9389,2.059
Health Care Management Science,Health Communication,Taylor & Francis,Teresa L Thompson,1041-0236,1532-7027,1.464
Health Communication,Health Expectatitions,Wiley ,Carolyn Chewgraham,1369-6513,1369-7625,1.56
Health Expect,Health and Human Rights,Harward University Press,Paul Farmer,1079-0969,2150-4113,1.407
Health Hum Rights,Health Policy and Technology,Elsevier,W. Ken Redekop,2211-8837,,1.225
Health Policy and Technology,Health Policy and Planning,Oxford University Press,Sandra Mounier-Jack,1460-2237,,2.075
Health Policy Plan, Health Phychol Behav Med,Taylor & Francis,,,,0
Health Psychol Behav Med,Health Qual. Life Outcomes,BioMed Central,Holger Schunemann,1477-7525,,2.278
Health Qual Life Outcomes,health research policy systems,BioMed Central,,1478-4505,,2.218
Health Res Policy Syst,Health Science Reports,Wiley,Alejandro Montenegro-Montero,,,
Health Sci Rep,Health Security,"Mary Ann Liebert, Inc",Thomas Inglesby,2326-5094,2326-5108,1.91
Health Secur,Healthcare Technology,National Institute for Health research,Magdalena Stoeva,1366-5278,2046-4924,4.058
Health Technol (Berl),Healthcare Informatics Research,SAGE Journals,Rob Procter,,,1.32
Healthc Inform Res,Health Policy,Elsevier,Reinhard Busse,0168-8510,,2.075
Healthc Policy,Healthcare — Open Access Journal,MDPI,Dr. Sampath Parthasarathy ,,2227-9032,
Healthcare,"Healthcare (Basel, Switzerland)",Multidisciplinary Digital Publishing Institute,,2227-9032,,
Healthcare (Basel),Heart Failure Reviews,Springer,Sidney Goldstien and Hani N. Sabbah,,1573-7322,4.015
Heart Fail Rev,Heart Lung Vessel,Publons,Nobuhisa Hagiwara,,,1.62
Heart Lung Vessel,Heart Rhythm,Douglas Zipes,Peng Sheng Chen,1547-5271,1556-3871,5.225
Heart Rhythm,Heart Rhythm Case Reports,Elsevier,T. Jared Bunch,2214-0271,2214-0271,
HeartRhythm Case Rep,Heliyon,Elsevier,,2405-8440,,
Heliyon, Hematology Reports,Elsevier,Giovanni Martinelli,,2038-8330,
Hematol Rev,Hepathisis monthly,Kowsar Publishing,Seyed-Moayed Alavian,1735-143X,1735-3408,1.578
Hepat Mon,Hepathitis research and treatment,Hindawi,,,,
Hepat Res Treat,Hepatology Communications,AASLD(not sure),Gyongyi Szabo,,2471-254X,
Hepatol Commun,Journal of Heptology,,,,,"18,946(2018)"
Hepatology,Herz,Springer,,,,
Herz,High Throughput,MDPI,,25715135,25715135,
High Throughput,Histochemistry and Cell Biology,Springer,Jurgen Hoth,0948-6143,1432-119X,2.64
Histochem Cell Biol,Hong Kong Medical Journal,Hong Kong Academy of Medical Press,,10242708,10242708,1.588
Hong Kong Medical Journal,Horticulture research,Sciendo,,,2353-3978,
Hortic Res,Human Reproduction(switch with 768),Oxford University,A. Van Steirteghem,0268-1161,1460-2350,3.396
Hum Ecol Interdiscip J,Human Gene Therapy,,Terence R. Flotte,,,3.855
Hum Gene Ther,Human Genomics,,,,,
Hum Genomics,Human Genomics And Proteomics,,"George P. Patrinos, Emanuel F. Petricoin",1757-4242,1757-4242,
Hum Genomics Proteomics,Human Ecology: An Interdisciplinary Journal,Springer,Daniel G. Bates,1043-0342,1557-7422 ,1.336
Hum Reprod,Human Resources for Health,BioMed Central with World Health Organization,"James Buchan, Mario Roberto Dal Poz",1478-4491,1478-4491,2.882
Hum Resour Health,Human Vaccines & Immunotherapeutics(duplicate),Taylor and Francis Group,Ronald Ellis,2164-5515,2164-554X,3.643
Hum Vaccin Immunother,Human Vaccines & Immunotherapeutics(duplicate),Taylor and Francis Group,Ronald Ellis,2164-5515,2164-554X,3.643
Human Vaccines & Immunotherapeutics,IDCases,Elsevier,Larry Lutwick,2214-2509,2214-2509,
IDCases,immunity and aging,BioMedCentral,,1742-4933,1742-4933,
Immun Ageing,immune network journal,,,1598-2629,2092-6685,3.111
Immune Netw,immunity ,cell press,Peter T Lee,1074-7613,1097-4180,21.522
Immunity,Immunogenetics,Springer,Ronald Bontrop,0093-7711,1432-1211,2.492
Immunogenetics,Immunology & Cell Biology,Wiley Online Library,Anne La Flamme,,1440-1711,3.947
Immunol Cell Biol,Immunology Letters,Elsevier,Francesco Annunziato,,0165-2478,2.552 
Immunol Lett,Immunological Reviews,Wiley Online Library,John Cambier,,1600-065X,11.292
Immunol Rev,Journal of Immunology,American Association of Immunology,Eugene Oltz,0022-1767,1550-6606,
Immunology,Immunome Research,BioMed Central,,,1745-7580,0.2
Immunome Res,Implementation Science,BioMed Central,Michael Wensing & Paul Wilson,,1748-5908,2.23
Implement Sci,In Silico Pharmacology,Springer,"Boris Gutkin, Pramod Nair, Defang Ouyang, and Chang-Guo Zhan",,2193-9616,
In Silico Pharmacol,Industrial Health,"National Institute of Occupational Health and Safety, Japan",Shigeo Umezaki & Shigeki Koda,0019-8366,1880-8026,1.319
Ind Health,Indian Dermatology Online Journal,"Indian Association of Dermatologists, Venerologists, and Leprologists",Sunil Dogra,2229-5178,2249-5673,
Indian Dermatol Online J,Indian Heart Journal,Elsevier,Rakesh Yadav,,0019-4832,
Indian Heart J,Indian Journal of Anaesthesia,Indian Society of Anaesthesiologists,Lalit Mehdiratta,0019-5049,0976-2817,
Indian J Anaesth,Indian Journal of Community Medicine,Indian Association of Preventative & Social Medicine,Pradeep Kumar,0970-0218,1998-3581,0.65
Indian J Community Med,Indian Journal of Critical Care Medicine,Indian Society of Critical Care Medicine,Atul Kulkarni,0972-5229,1998-359X,0.59
Indian J Crit Care Med,Indian Journal of Dermatology,"Indian Association of Dermatologists, Venerologists, and Leprologists, West Bengal",Dwijendra Nath Gangopadhyay,0019-5154,1998-3611,1.721
Indian J Dermatol,Indian Journal of Medical Research,Indian Council of Medical Research,Anju Sharma,0971-5916,0975-9174,2.061
Indian J Med Res,Indian Journal of Opthalmology,All India Opthalmological Society,Santosh Honavar,0301-4738,1998-3689,1.019
Indian J Ophthalmol,Indian Journal of Pharmaceutical Sciences,Indian Pharmaceutical Association,Divakar Goli,0250-474X,1998-3743,0.762
Indian J Pharm Sci,Indian Journal of Radiology & Imaging,Indian Radiological & Imaging Association,P. Rama Rao & K. Manjunath Rai,0971-3026,1998-3808,0.33
Indian J Radiol Imaging,Indian Journal of Tuberculosis,Elsevier,Vijay Arora,,0019-5707,0.252
Indian Journal of Tuberculosis,Indoor and Built Environment,SAGE Journals,Chuck Yu,1420-326X,1423-0070,1.367
Indoor and Built Environment,Information Services & Use,IOS Press,Arnoud De Kemp & Elliot Siegel,0167-5265,1875-8789,
Inf Serv Use,Infectious Agents & Cancer,BioMed Central,Franco Buonaguro & Sam Mbulaiteye,,1750-9378,2.15
Infect Agent Cancer,Infection and Chemotherapy,XMLink,Dong-Gun Lee,2093-2340,2092-6448,0.702
Infect Chemother,Infection Control & Hospital Epidemiology,Cambridge Core,Suzanne Bradley,0899-823X,1559-6834,3.084
Infect Control Hosp Epidemiol,,,,,,
Infect Dis Model,,,,,,
Infect Dis Poverty,,,,,,
Infect Dis Rep,,,,,,
Infect Dis Ther,,,,,,
Infect Drug Resist,,,,,,
Infect Ecol Epidemiol,,,,,,
Infect Immun,,,,,,
Infection,,,,,,
Infection Control & Hospital Epidemiology,,,,,,
Infection Prevention in Practice,,,,,,
"Infection, Genetics and Evolution",,,,,,
Infectious Disease Modelling,,,,,,
Infectious Disease Reports,,,,,,
Infectious Diseases of Poverty,,,,,,
Infez Med,,,,,,
Infezioni in Medicina,,,,,,
Inflamm Regen,,,,,,
Inflamm Res,,,,,,
Influenza and Other Respiratory Viruses,,,,,,
Influenza Other Respir Viruses,,,,,,
Influenza Res Treat,,,,,,
Innovative Biosystems and Bioengineering,,,,,,
Inquiry,,,,,,
Insect Mol Biol,,,,,,
Insects,,,,,,
Insights Imaging,,,,,,
Int Arch Med,,,,,,
Int Arch Otorhinolaryngol,,,,,,
Int Braz J Urol,,,,,,
Int Health,,,,,,
Int Immunopharmacol,,,,,,
Int J Alzheimers Dis,,,,,,
Int J Ayurveda Res,,,,,,
Int J Bacteriol,,,,,,
Int J Behav Med,,,,,,
Int J Biol Sci,,,,,,
Int J Biomed Sci,,,,,,
Int J Cancer,,,,,,
Int J Cell Biol,,,,,,
Int J Chron Obstruct Pulmon Dis,,,,,,
Int J Circumpolar Health,,,,,,
Int J Clin Pract,,,,,,
Int J Crit Illn Inj Sci,,,,,,
Int J Emerg Med,,,,,,
Int J Endocrinol,,,,,,
Int J Environ Res Public Health,,,,,,
Int J Epidemiol,,,,,,
Int J Equity Health,,,,,,
Int J Gen Med,,,,,,
Int J Genomics,,,,,,
Int J Health Geogr,,,,,,
Int J Health Policy Manag,,,,,,
Int J Health Sci (Qassim),,,,,,
Int J Hyg Environ Health,,,,,,
Int J Hypertens,,,,,,
Int J Infect Dis,,,,,,
Int J Inflam,,,,,,
Int J MCH AIDS,,,,,,
Int J Med Chem,,,,,,
Int J Med Sci,,,,,,
Int J Ment Health Syst,,,,,,
Int J Microbiol,,,,,,
Int J Mol Med,,,,,,
Int J Mol Sci,,,,,,
Int J Nanomedicine,,,,,,
Int J Nurs Sci,,,,,,
Int J Occup Environ Med,,,,,,
Int J Oncol,,,,,,
Int J Oral Sci,,,,,,
Int J Parasitol Drugs Drug Resist,,,,,,
Int J Parasitol Parasites Wildl,,,,,,
Int J Pediatr,,,,,,
Int J Pept,,,,,,
Int J Prev Med,,,,,,
Int J Public Health,,,,,,
Int J Qual Stud Health Well-being,,,,,,
Int J Surg Case Rep,,,,,,
Int J Telerehabil,,,,,,
Int J Vet Sci Med,,,,,,
Int Med Case Rep J,,,,,,
Int Nurs Rev,,,,,,
Int Psychiatry,,,,,,
Integr Cancer Ther,,,,,,
Intensive and Critical Care Nursing,,,,,,
Intensive Care Med,,,,,,
Intensive Care Med Exp,,,,,,
Intensive Care Medicine,,,,,,
Interdiscip Perspect Infect Dis,,,,,,
Intern Med,,,,,,
International journal of antimicrobial agents,,,,,,
International Journal of Clinical Practice,,,,,,
International Journal of Environmental Research and Public Health,,,,,,
International Journal of Epidemiology,,,,,,
International Journal of Hygiene and Environmental Health,,,,,,
International Journal of Infectious Diseases,,,,,,
International Journal of Interactive Multimedia and Artificial Intelligence,,,,,,
International Journal of Molecular Sciences,,,,,,
International Journal of Oral Science,,,,,,
International Journal of Pharmaceutics,,,,,,
International Journal of Surgery,Journal of Traditional Science,Academy of traditonal chinese medicince,Boli Zhang,0255-2922,0255-2922,4.197
International Journal of Traditional Chinese Medicine,Interventional Medicine and Applied Science,AKJournals,Ágoston Szél,20611617,20615094,RG: 0.23
Interv Med Appl Sci.; 11(1):17-20,Intrinsically Disordered Proteins,"Austin, Tx : Landes Bioscience, [2013]-","Dr. Lukasz Kurgan, Dr. Vladimir N. Uversky ",2169-0693,2169-0707,not found
Intrinsically Disord Proteins,Investigative Radiology,"	
Wolters Kluwer","	Val Murray Runge","	0020-9996",1536-0210,6.091 (2018)
Invest Radiol,Investigative Radiology,Wolters Kluwer,Val M. Runge,0020-9996,1536-0210,6.091 (2018)
Investigative radiology,Irish Veterinary Journal,springer nature,Prof Michael Doherty,not found,2046-0481,1.5
Ir Vet J,Iranian Biomedical Journal,Pasteur Institute of Iran ,"Vahid Khalaj, Ph.D.",1028-852X,2008-823X,2.2
Iran Biomed J,Iranian Journal of Basic Medical Sciences,Mashhad University of Medical Sciences,"Fazly Bazzaz, Bibi Sedigheh",2008-3866,2008-3874,1.854
Iran J Basic Med Sci,Iranian Journal of Biotechnology,National Institute of Genetic Engineering and Biotechnology,Alireza Zomorodipour,1728-3043,2322-2921,0.861
Iran J Biotechnol,Iranian Journal of Child Neurology,The Iranian Child Neurology Society,Dr. Parvaneh Karimzadeh,1735-4668,2008-0700,0.59
Iran J Child Neurol,Iranian Journal of Microbiology,ehran University of Medical Sciences,Mohammad Mehdi Feizabadi,2008-3289,2008-4447 ,0.17
Iran J Microbiol,Iranian Journal of Nursing and Midwifery Research,Medknow Publications,"Masoud Bahrami, Midwifery, Isfahan",1735-9066,2228-5504,not found
Iran J Nurs Midwifery Res,Iranian Journal of Prasitology,Iranian Society of Parasitology,Edrissian GhH,1735-7020,2008-238x,0.735
Iran J Parasitol,Iranian Journal of Pharmaceutical Research,"School of Pharmacy, Shahid Beheshti University of Medical Sciences",Dr. Nima Naderi,"	1735-0328",1726-6890,1.745
Iran J Pharm Res,Iranian Journal of Public Health,Tehran University of Medical Sciences (TUMS),Prof. Dariush D. Farhud,2251-6093,2251-6085,1.225
Iran J Public Health,Iranian Journal of Radiology,"	Kowsar Publishing Company","Karim Vessal, Kavous Firouznia",1735-1065,2008-2711,0.478
Iran J Radiol,Iranian Journal of Reproductive Medicine,"Shahid Sadoughi University of Medical Science, Yazd, Iran",not found,1680-6433,2008-2177 ,not found
Iran J Reprod Med,Iranian Red Crescent Medical Journal,Kowsarmedical,not found,2074-1804,2074-1812,not found
Iran Red Crescent Med J,Iranian South Medical Journal,"	
Bushehr University of Medical Sciences ",Majid Assadi,not found,"	1735-4374",not found
Iranian South Medical Journal,International Society of blood transfusion Science series,Wiley,Pieter van der Meer,not found,1751-2824,2.107
ISBT Sci Ser,iScience, Elsevier,Holden Thorp,2589-0042,2589-0042,41.063
iScience,The ISME Journal,Nature Publishing Group," George Kowalchuk, Kazuya Watanabe","	1751-7362",1751-7370,9.493
ISME J,Israel Journal of Health Policy Research,Biomed Central,not found,2045-4015,2045-4015,1.613
Isr J Health Policy Res,ISRN Biotechnology,Springer,Alexander Steinbüchel,0175-7598,1432-0614,3.889
ISRN Biotechnol,ISRN Molecular Biology,Springer,Jonathan Brody,0301-4851,1573-4978,1.707
ISRN Mol Biol,ISRN Veterinary Science,Hindawi Publishing,Young S. Lyoo,"	2090-4452",2090-4460,1.751
ISRN Vet Sci,Italian Journal of Pediatrics,springer nature,Giovanni Corsello,1824-7288,1824-7288,2.125
Ital J Pediatr,IUCrJ,International Union of Crystallography,A. J. Allen, 2052-2525, 2052-2525,5.793
IUCrJ,Journal of advanced pharmaceutical technology and research,Society of Pharmaceutical Education & Research,Dr. Upendra Nagaich,2231-4040,0976-2094,1.093
J Adv Pharm Technol Res,Journal of advanced research,elsevier,Hussein M. Khaled,2090-1232,2090-1232,5.045
J Adv Res,journal of advanced veterinary and animal research,Network for the Veterinarians of Bangladesh,Prof. Nazmul H. Nazir,2311-7710,2311-7710,0.34
J Adv Vet Anim Res,Journal of Allergy and Clinical Immunology,Elsevier,"Zuhair K. Ballas, MD",0091-6749,0091-6749,13.316
J Allergy Clin Immunol,Journal of Alzheimer's Disease ,IOS Press,George Perry,1387-2877,1875-8908,3.517
J Alzheimers Dis Rep.; 1(1):125-157,Journal of Analytical Chemistry,Springer,Yurii A. Zolotov,1061-9348,1608-3199,0.815
J Anal Methods Chem,Journal of animal sciences and biotechnology,BioMed Centra,Defa Li,2049-1891,2049-1891,3.903
J Anim Sci Biotechnol,journal of animal science and technology,The Korean Society of Animal Science and Technology. ,Sally Johnson,2055-0391,2055-0391,not found
J Anim Sci Technol,Journal of Antimicrobial Chemotherapy,Oxford University Press,J. Peter Donnelly,0305-7453,1460-2091,5.217
J Antimicrob Chemother,Journal of Applied Microbiology,Springer,Alexander Steinbüchel, 2191-0855, 2191-0855,2.485
J Appl Microbiol,Journal of Applied Oral Science,Faculdade de Medicina da Universidade de Sao Paulo,not found,1678-7757,1678-7757,1.506
J Appl Oral Sci,Asthma Allergy,Dove Medical Press,Amrita Dosanjh,"	1178-6965","	1178-6965",not found
J Asthma Allergy,Journal of audiology and otology,The Korean Audiological Society and Korean Otological Society,Kyoung-Ho Park,2384-1621,2384-1710,0.75
J Audiol Otol,Autoimmunity Journal,Informa Healthcare (United States),Paolo Casali,1607-842X,0891-6934,7.641
J Autoimmun,Journal of Autoimmune Disorders,springer nature,Not found,1740-2557,1740-2557,7.228
J Autoimmune Dis,Journal of Behavorial Decision Making,John Wiley & Sons,George Wright,0894-3257,1099-0771,1.791
J Behav Decis Mak,Biology Journal,MDPI,Chris O'Callaghan,2079-7737,2079-7737,not found
J Biol,Biological Chemistry,Springer,Naranjan S. Dhalla,0300-8177,1573-4919,2.731
J Biol Chem,Journal of Biological Engineering,Springer,"Kai-Nan An, Fong-Chin Su",1609-0985,2199-4757,1.361
J Biol Eng,Journal of Biological Regulators & Homeostatic Agents,Biolife SAS (Italy),Not found,"	0393-974X","	0393-974X",1.6
J Biol Regul Homeost Agents,Biomark Journal,Taylor & Francis,Martin Möckel,"	1354-750X",1366-5804,2.268
J Biomark,Journal of Biomedicine and Biotechnology,HINDAWI PUBLISHING CORPORATION,not found,1110-7243,1110-7251,3.169
J Biomed Biotechnol,The Journal of Biomedical Research,Nanjing Medical University,Hongbing Shen,2352-4685,1674-8301,
J Biomed Res,Journal of Biomedical Science,BioMed Central,Wen-Chang Chang,1021-7770,1423-0127,4.091
J Biomed Sci,Journal of Biomolecular NMR,Springer Science+Business Media,Gerhard Wagner,0925-2738,1573-5001,2.557
J Biomol NMR,Journal of Blood Medicine,Dove Medical Press Ltd. ,Martin Bluth,,1179-2736,
J Blood Med,Jornal Brasileiro de Pneumologia,Sociedade Brasileira de Pnemologia e Tisiologia,Rogerio Souza,1806-3713,1806-3756,
J Bras Pneumol,Journal of Cancer,Ivyspring International Publisher,"Yan-Gao Man, Naoto T. Ueno",,1837-9664,3.182
J Cancer,Journal of Cardiothoracic Surgery,BioMed Central,Vipin Zmvar,,1749-8090,1.403
J Cardiothorac Surg,Journal of Cardiovascular Disease Research,E Manuscript Services,"Peng Zhou, Yujie Zhu",0975-3583,0976-2833,
J Cardiovasc Dis Res,Journal of Cell Biology,Rockefeller University Press,Jodi Nunnari,0021-9525,1540-8140,20.551
J Cell Biol,Journal of Cell Death,SAGE publishing,Garry M. Walsh,,1179-0660,
J Cell Death,Journal of Cellular and Molecular Medicine,Wiley-Blackwell,Stefan N. Constantinescu,1582-1838,1582-4934,4.658
J Cell Mol Med,Journal of Cell Science,The Company of Biologists,Michael Way,0021-9533,1477-9137,
J Cell Sci,Journal of Chemical Information and Modeling,American Chemical Society,Kenneth M. Merz Jr. ,1549-9596,1520- 5142,3.996
J Chem Inf Model,Journal of the Chinese Medical Association,Elsevier Taiwan,Fa-Yauh Lee,,1726-4901,1.894
J Chin Med Assoc,Journal of Clinical Bioinformatics,Shanghai Institute of Clinical Bioninformatics,,,2043-9113,
J Clin Bioinforma,Journal of Clinical and Cellular Immunology,Longdom Publishing,Charles J Malemud,,2155-9899,2.3
J Clin Cell Immunol,Journal of Clinical and Experimental Dentistry,Medicina Oral S.L,José V. Bagán,,1989-5488,0.43
J Clin Exp Dent,Journal of Clinical Immunology,Springer Science+Business Media,Vincent Bonagura,0271-9142,1573-2592,4.227
J Clin Immunol,Journal of Clinical Laboratory Analysis,Wiley-Liss,,,0887-8013,1.549
J Clin Lab Anal,Journal of Clinical Medicine,MDPI AG,"Emmanuel Andrés, Michael G. Hennerici",,2077-0383,5.688
