JournalNameInData,StandardJournalName,Publisher,ChiefEditor,PrintISSN,ElectronicISSN,ImpactFactor
Eur J Histochem,European Journal of Histochemistry,PagePress,Carlo Pellicciari,1121-760X,2039-6805,
Eur J Immunol,European Journal of Immunology,Wiley-VCH,,0014-2980,,
Eur J Microbiol Immunol (Bp),European Journal of Microbiology and Immunology,,,2062-509X,2062-8633,
Eur J Nucl Med Mol Imaging,European Journal of Nuclear Medicine and Molecular Imaging,Springer,Arturo Chiti,1619-7070,1619-7089,6.522 
Eur J Pediatr,European Journal of Pediatrics,Springer,Peter de Winter,0340-6199,1432-1076,2.143
Eur J Trauma Emerg Surg,European Journal of Trauma and Emergency Surgery,Springer,Ingo Marzi,1863-9933,,1.453 
Eur Respir J,European Respiratory Journal ,European Respiratory Society,Martin Kolb,0903-1936,1399-3003,
Eur Spine J,European Spine Journal,Springer,Robert Gunzburg,0940-6719 ,1432-0932,2.87
EURASIP J Bioinform Syst Biol,EURASIP Journal on Bioinformatics and Systems Biology,,,,,
Euro Surveill,Eurosurveillance,ECDC,Ines Steffens,,1560-7917,
Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,Eurosurveillance,ECDC,Ines Steffens,,1560-7917,
European J Med Plants,European Journal of Medicinal Plants,Sciencedomain International,Marcello Iriti,,2231-0894,
European Journal of Clinical Investigation,European Journal of Clinical Investigation,John Wiley & Sons,Hendrik Nathoe,0014-2972,1365-2362,
European journal of immunology,European Journal of Immunology,Wiley-VCH,,0014-2980,,
European Journal of Nuclear Medicine and Molecular Imaging,European Journal of Nuclear Medicine and Molecular Imaging,Springer,Arturo Chiti,1619-7070,1619-7089,6.522
European Journal of Pharmaceutical Sciences,European Journal of Pharmaceutical Sciences  ,Elsevier,Martin Brandl,0928-0987,1879-0720,
European Radiology,European Radiology,Springer,Yves Menu,0938-7994,1432-1084,3.919
European review for medical and pharmacological sciences,European Review for Medical and Pharmacological Sciences,Verduci Editore,A.V. GRECO & A. GASBARRINI,1128-3602,2284-0729,2.141
Eurosurveillance,Eurosurveillance,ECDC,Ines Steffens,,1560-7917,
Evid Based Complement Alternat Med,Evidence-Based Complementary and Alternative Medicine,Hindawi Publishing Corporation,,1741-427X,1741-4288,
Evol Appl,Evolutionary Applications, John Wiley & Sons,Louis Bernatchez,,1752-4571,
Evol Bioinform Online,Evolutionary Bioinformatics Online,Libertas Academica,Dennis Wall,,1176-9343,
Evol Med Public Health,"Evolution, Medicine, and Public Health",Oxford University Press,Charles Nunn,,2050-6201,
Evolution,Evolution,John Wiley & Sons,Tracey Chapman,0014-3820,1558-5646,
EXCLI J,EXCLI Journal,University of Mainz,J. G. Hengstler,,1611-2156,
Exp Dermatol,Experimental Dermatology,John Wiley & Sons,Ralf Paus & Maksim Plikus,,1600-0625,
Exp Mol Med,Experimental & Molecular Medicine  ,Nature Publishing Group,Dae-Myung Jue,1226-3613,2092-6413,
Exp Neurol,Experimental Neurology,Elsevier,Ahmet Hoke,0014-4886,1090-2430,
Exp Ther Med,Experimental and Therapeutic Medicine,Spandidos Publications,Demetrios A. Spandidos,1792-0981,1792-1015,
Exp Transl Stroke Med,Experimental and Translational Stroke Medicine,BioMed Central,,,2040-7378,
Expert Opin Drug Deliv,Expert Opinion on Drug Delivery,Taylor and Francis Group,Uday Kompella,1742-5247,1744-7593,
Expert Rev Anti Infect Ther,Expert Review of Anti-infective Therapy  ,Taylor and Francis Group,,1478-7210,1744-8336,
Expert Rev Mol Med,Expert Reviews in Molecular Medicine,Cambridge University Press,Timothy M. Cox,,1462-3994,
Expert Rev Vaccines,Expert Review of Vaccines,Taylor and Francis Group,Samantha Wilkinson,1476-0584,1744-8395,
Eye,Eye,Nature Research,Sobha Sivaprasad,0950-222X,1476-5454,
Eye Vis (Lond),Eye and Vision,Springer,Jia Qu,,2326-0254,3.854
F1000 Biol Rep,F1000 Biology Reports,Faculty of 1000 Ltd,,,1740-4118,
F1000Prime Rep,F1000Prime Reports,Faculty of 1000 Ltd,,,2051-7599,
F1000Res,F1000 Research,Faculty of 1000 Ltd,,,2046-1402,
F1000Research,,,,,,
Fam Med Community Health,,,,,,
FASEB J,,,,,,
FEBS Lett,,,,,,
FEBS Open Bio,,,,,,
FEMS Microbiol Rev,,,,,,
Fibrogenesis Tissue Repair,,,,,,
Food Environ Virol,,,,,,
Food Nutr Res,,,,,,
Forensic Science International: Mind and Law,,,,,,
Front Aging Neurosci,,,,,,
Front Bioeng Biotechnol,,,,,,
Front Cell Dev Biol,,,,,,
Front Cell Infect Microbiol,,,,,,
Front Cell Neurosci,,,,,,
Front Chem,,,,,,
Front Endocrinol (Lausanne),,,,,,
Front Genet,,,,,,
Front Hum Neurosci,,,,,,
Front Immunol,,,,,,
Front Med (Lausanne),,,,,,
Front Microbiol,,,,,,
Front Mol Biosci,,,,,,
Front Mol Neurosci,,,,,,
Front Neural Circuits,,,,,,
Front Neuroanat,,,,,,
Front Neurol,,,,,,
Front Neurorobot,,,,,,
Front Neurosci,,,,,,
Front Oncol,,,,,,
Front Pediatr,,,,,,
Front Pharmacol,,,,,,
Front Physiol,,,,,,
Front Plant Sci,,,,,,
Front Psychol,,,,,,
Front Public Health,,,,,,
Front Synaptic Neurosci,,,,,,
Front Vet Sci,,,,,,
Front Zool,,,,,,
Frontiers in Microbiology,,,,,,
Future Microbiol,,,,,,
Future Virol,,,,,,
G3 (Bethesda),,,,,,
Gastroenterology,,,,,,
Gene Ther,,,,,,
Genes (Basel),,,,,,
Genes Immun,,,,,,
Genet Mol Biol,,,,,,
Genet Sel Evol,,,,,,
Genet Vaccines Ther,,,,,,
Genetics,Genetics,,Mark Johnston,0016-6731,1943-2631,4.075
Genom Data,,,,,,
Genome Announc,,,,,,
Genome Biol,Genome Biology ,BioMed Central,Barbara Cheifet,1474-760X,1465-6906,13.214
Genome Biol Evol,Genome Biology and Evolution,Oxford University Press,Laura A. Katz and Adam Eyer-Walker,1759-6653,,3.726
Genome Med,Canadian Journal of Genetics and Cytology,BioMed Central,Rabia Begum,1756-994X,,8.898
Genomics Inform,,,Taesung Park,,,
Genomics Proteomics Bioinformatics,,,Jun Yu,,,6.597
Gigascience,,OUP and BGI,Laurie Goodman,2047-217X,,4.688
Glia,,Wiley,Bruce R. Ransom and Helmut Kettenmann,,1098-1136,5.829
Glob Adv Health Med,,SAGE,,,,
Glob Chall,Global Change Biology,Global Challeges,Steve Long,1079-5049,,
Glob Health Action,Global Health,BMJ Global Health,Peter Byass,1654-9716,1654-9880,1.817
Glob Health Res Policy,Global Health,Glob Health,Xingguang Chen,2397-0642,,
Glob Health Sci Pract,Global Health Science and practice,JOhn Hopkins,Stephen Hodgins,2169-575X,,
Glob J Health Sci,Global Journal of Health science,Canadian Center of Science & Education,Trisha Dunning,1916-9736,1916-9744,
Glob Pediatr Health,Global Pediatric Health,SAGE Publication Inc,Russel W Steele,2333-794X,2333-794X,
Glob Public Health,Global Public Health,Taylor & Francis,Richard Parker,1744--1706,1744-1692,1.978
Glob Soc Policy,Global Social Policy,SAGE Publication Inc,Gerard Boychuk,1468-0181,1741-2803,
Global Biosecurity,Global Biusecurity,Univercsity of New South Wales,Dr. Inglesby,2652-0036,,
Global Health,Global Health Journal,BMJ Global Health,Jonathan Fahey,2096-3947,2414-6447,
Global Health Research and Policy,Global Health Research and Policy,MBC,Zongfu Mao,,,
Global Social Welfare,International Social Work,Wiley- Blackwell,Ake Bergmark,1369-6866,,
Glycobiology,Glycobiology,Oxford University Press,Robert S,0959-6658,0959-6658,
GMS Curr Top Otorhinolaryngol Head Neck Surg,GMS Current Topics in Otorhinolaymgol Head Neck Surgery,German Society of Otorhinolaryngol,,1865-1011,,
GMS Hyg Infect Control,German Medical Science Hygiene and Ifection Control,German Medical Science GMS Publishing House,Axel Kramer,2196-5226,,
Graefe's Archive for Clinical and Experimental Ophthalmology,Graefe Archive for Clinical and Experimental Ophthalmolog,Holtzbrinzk Springer Nture Publishing Group,,0721-832X,1435-702X,
Gut,Gut,MBJ Group,Emad El- Omar,0017-5749,1468-3288,
Gut Pathog,Gut Pathogens,Gut Pathogens,Niyaz Ahmed,1757-4749,,
Haematologica,Journal of Ferrata Storti Foundation,Ferrata Storti Foundation,Luca Malcovati,0390-6078,1592-8721,7.57
Harefuah,Harefuah,Israel Medical Association,Yehuda Shoenfeld,0017-7768,,0.17
Harm Reduct J,Harm Reduction Journal,BioMed Central,Nick Crofts,1477-7517,,1.64
Health Care Management Science,Health Care Management Science,Kluwer Academic Publishers,Gregory Zarec,1386-9620,1572-9389,2.059
Health Communication,Health Communication,Taylor & Francis,Teresa L Thompson,1041-0236,1532-7027,1.464
Health Expect,Health Expectatitions,Wiley ,Carolyn Chewgraham,1369-6513,1369-7625,1.56
Health Hum Rights,Health and Human Rights,Harward University Press,Paul Farmer,1079-0969,2150-4113,1.407
Health Policy and Technology,Health Policy and Technology,Elsevier,W. Ken Redekop,2211-8837,,1.225
Health Policy Plan,Health Policy and Planning,Oxford University Press,Sandra Mounier-Jack,1460-2237,,2.075
Health Psychol Behav Med, Health Phychol Behav Med,Taylor & Francis,,,,0
Health Qual Life Outcomes,Health Qual. Life Outcomes,BioMed Central,Holger Schunemann,1477-7525,,2.278
Health Res Policy Syst,health research policy systems,BioMed Central,,1478-4505,,2.218
Health Sci Rep,Health Science Reports,Wiley,Alejandro Montenegro-Montero,,,
Health Secur,Health Security,"Mary Ann Liebert, Inc",Thomas Inglesby,2326-5094,2326-5108,1.91
Health Technol (Berl),Healthcare Technology,National Institute for Health research,Magdalena Stoeva,1366-5278,2046-4924,4.058
Healthc Inform Res,Healthcare Informatics Research,SAGE Journals,Rob Procter,,,1.32
Healthc Policy,Health Policy,Elsevier,Reinhard Busse,0168-8510,,2.075
Healthcare,Healthcare — Open Access Journal,MDPI,Dr. Sampath Parthasarathy ,,2227-9032,
Healthcare (Basel),"Healthcare (Basel, Switzerland)",Multidisciplinary Digital Publishing Institute,,2227-9032,,
Heart Fail Rev,Heart Failure Reviews,Springer,Sidney Goldstien and Hani N. Sabbah,,1573-7322,4.015
Heart Lung Vessel,Heart Lung Vessel,Publons,Nobuhisa Hagiwara,,,1.62
Heart Rhythm,Heart Rhythm,Douglas Zipes,Peng Sheng Chen,1547-5271,1556-3871,5.225
HeartRhythm Case Rep,Heart Rhythm Case Reports,Elsevier,T. Jared Bunch,2214-0271,2214-0271,
Heliyon,Heliyon,Elsevier,,2405-8440,,
Hematol Rev, Hematology Reports,Elsevier,Giovanni Martinelli,,2038-8330,
Hepat Mon,Hepathisis monthly,Kowsar Publishing,Seyed-Moayed Alavian,1735-143X,1735-3408,1.578
Hepat Res Treat,Hepathitis research and treatment,Hindawi,,,,
Hepatol Commun,Hepatology Communications,AASLD(not sure),Gyongyi Szabo,,2471-254X,
Hepatology,Journal of Heptology,,,,,18946
Herz,Herz,Springer,,,,
High Throughput,High Throughput,MDPI,,25715135,25715135,
Histochem Cell Biol,Histochemistry and Cell Biology,Springer,Jurgen Hoth,0948-6143,1432-119X,2.64
Hong Kong Medical Journal,Hong Kong Medical Journal,Hong Kong Academy of Medical Press,,10242708,10242708,1.588
Hortic Res,Horticulture research,Sciendo,,,2353-3978,
Hum Ecol Interdiscip J,Human Reproduction(switch with 768),Oxford University,A. Van Steirteghem,0268-1161,1460-2350,3.396
Hum Gene Ther,Human Gene Therapy,,Terence R. Flotte,,,3.855
Hum Genomics,Human Genomics,,,,,
Hum Genomics Proteomics,Human Genomics And Proteomics,,"George P. Patrinos, Emanuel F. Petricoin",1757-4242,1757-4242,
Hum Reprod,Human Ecology: An Interdisciplinary Journal,Springer,Daniel G. Bates,1043-0342,1557-7422 ,1.336
Hum Resour Health,Human Resources for Health,BioMed Central with World Health Organization,"James Buchan, Mario Roberto Dal Poz",1478-4491,1478-4491,2.882
Hum Vaccin Immunother,Human Vaccines & Immunotherapeutics(duplicate),Taylor and Francis Group,Ronald Ellis,2164-5515,2164-554X,3.643
Human Vaccines & Immunotherapeutics,Human Vaccines & Immunotherapeutics(duplicate),Taylor and Francis Group,Ronald Ellis,2164-5515,2164-554X,3.643
IDCases,IDCases,Elsevier,Larry Lutwick,2214-2509,2214-2509,
Immun Ageing,immunity and aging,BioMedCentral,,1742-4933,1742-4933,
Immune Netw,immune network journal,,,1598-2629,2092-6685,3.111
Immunity,immunity ,cell press,Peter T Lee,1074-7613,1097-4180,21.522
Immunogenetics,Immunogenetics,Springer,Ronald Bontrop,0093-7711,1432-1211,2.492
Immunol Cell Biol,Immunology & Cell Biology,Wiley Online Library,Anne La Flamme,,1440-1711,3.947
Immunol Lett,Immunology Letters,Elsevier,Francesco Annunziato,,0165-2478,2.552 
Immunol Rev,Immunological Reviews,Wiley Online Library,John Cambier,,1600-065X,11.292
Immunology,Journal of Immunology,American Association of Immunology,Eugene Oltz,0022-1767,1550-6606,
Immunome Res,Immunome Research,BioMed Central,,,1745-7580,0.2
Implement Sci,Implementation Science,BioMed Central,Michael Wensing & Paul Wilson,,1748-5908,2.23
In Silico Pharmacol,In Silico Pharmacology,Springer,"Boris Gutkin, Pramod Nair, Defang Ouyang, and Chang-Guo Zhan",,2193-9616,
Ind Health,Industrial Health,"National Institute of Occupational Health and Safety, Japan",Shigeo Umezaki & Shigeki Koda,0019-8366,1880-8026,1.319
Indian Dermatol Online J,Indian Dermatology Online Journal,"Indian Association of Dermatologists, Venerologists, and Leprologists",Sunil Dogra,2229-5178,2249-5673,
Indian Heart J,Indian Heart Journal,Elsevier,Rakesh Yadav,,0019-4832,
Indian J Anaesth,Indian Journal of Anaesthesia,Indian Society of Anaesthesiologists,Lalit Mehdiratta,0019-5049,0976-2817,
Indian J Community Med,Indian Journal of Community Medicine,Indian Association of Preventative & Social Medicine,Pradeep Kumar,0970-0218,1998-3581,0.65
Indian J Crit Care Med,Indian Journal of Critical Care Medicine,Indian Society of Critical Care Medicine,Atul Kulkarni,0972-5229,1998-359X,0.59
Indian J Dermatol,Indian Journal of Dermatology,"Indian Association of Dermatologists, Venerologists, and Leprologists, West Bengal",Dwijendra Nath Gangopadhyay,0019-5154,1998-3611,1.721
Indian J Med Res,Indian Journal of Medical Research,Indian Council of Medical Research,Anju Sharma,0971-5916,0975-9174,2.061
Indian J Ophthalmol,Indian Journal of Opthalmology,All India Opthalmological Society,Santosh Honavar,0301-4738,1998-3689,1.019
Indian J Pharm Sci,Indian Journal of Pharmaceutical Sciences,Indian Pharmaceutical Association,Divakar Goli,0250-474X,1998-3743,0.762
Indian J Radiol Imaging,Indian Journal of Radiology & Imaging,Indian Radiological & Imaging Association,P. Rama Rao & K. Manjunath Rai,0971-3026,1998-3808,0.33
Indian Journal of Tuberculosis,Indian Journal of Tuberculosis,Elsevier,Vijay Arora,,0019-5707,0.252
Indoor and Built Environment,Indoor and Built Environment,SAGE Journals,Chuck Yu,1420-326X,1423-0070,1.367
Inf Serv Use,Information Services & Use,IOS Press,Arnoud De Kemp & Elliot Siegel,0167-5265,1875-8789,
Infect Agent Cancer,Infectious Agents & Cancer,BioMed Central,Franco Buonaguro & Sam Mbulaiteye,,1750-9378,2.15
Infect Chemother,Infection and Chemotherapy,XMLink,Dong-Gun Lee,2093-2340,2092-6448,0.702
Infect Control Hosp Epidemiol,Infection Control & Hospital Epidemiology,Cambridge Core,Suzanne Bradley,0899-823X,1559-6834,3.084
Infect Dis Model,Infectious Disease Modeling,KeAi," Yiming Shao, Jianhong Wu",2468-0427,2468-0427,
Infect Dis Poverty,Infectious Diseases of Poverty,BioMed Central,Xiao-Nong Zhou,2049-9957,2049-9957,3.123
Infect Dis Rep,Infectious Disease Reports,springer,Thomas G. Slama,1523-3847,1534-3146,
",2.040,FALSE",,,,,,
Infect Dis Ther,Infectious Diseases and Therapy,springer,"Michael J. Rybak, Alex Soriano",2193-8229,2193-6382,1.714
Infect Drug Resist,Infection and Drug Resistance ,"	",,,,
"Dove Medical Press""","	Suresh Antony",1178-6973,1178-6973,3,FALSE,
Infect Ecol Epidemiol,Infection Ecology & Epidemiology,Taylor and Francis,Björn Olsen,not found,2000-8686,2.55
Infect Immun,Infection and Immunity  ,"	",,,,
"American Society for Microbiology""","	Andreas J. Bäumler","	0019-9567",1098-5522,3.256,FALSE,
Infection,Infection,springer,Johannes Bogner,0300-8126,1439-0973,2.52
Infection Control & Hospital Epidemiology,Infection Control & Hospital Epidemiology  ,"	",,,,
"University of Chicago Press """,Suzanne F. Bradley,"	0899-823X",1559-6834,3.084,FALSE,
Infection Prevention in Practice,Infection Prevention in Practice,Elsevier,"Jim Gray, Nikunj Mahida, Gemma Winzor",not found,2590-0889,
"Infection, Genetics and Evolution","Infection, Genetics and Evolution","	",,,,
"Elsevier""","	Michel Tibayrenc","	1567-1348",1567-7257,2.5,FALSE,
Infectious Disease Modelling,Infectious Disease Modeling,KeAi," Yiming Shao, Jianhong Wu",2468-0427,2468-0427,
Infectious Disease Reports,Infectious Disease Reports,springer,Thomas G. Slama,1523-3847,1534-3146,2.04
Infectious Diseases of Poverty,Infectious Diseases of Poverty,BioMed Central,Xiao-Nong Zhou,2049-9957,2049-9957,3.123
Infez Med,Le Infezioni in Medicina,InfezMed,Silvano Esposito,1125-9390,1125-9390,
Infezioni in Medicina,Le infezioni in medicina,Universita degli Studi di Napoli,Silvano Esposito,1124-9390,1124-9390,
Inflamm Regen,Inflammation and Regeneration,springer nature,Hideyuki Okano,1880-8190,1880-8190,0.33
Inflamm Res,Inflammation Research  ,"	",,,,
"Springer Science+Business Media""","	John A. Di Battista","	1023-3830",1420-908X,2.99,FALSE,
Influenza and Other Respiratory Viruses,Influenza and Other Respiratory Viruses,Wiley online library,Ben Cowling,1750-2659,1750-2659,3.094
Influenza Other Respir Viruses,Influenza and Other Respiratory Viruses,Wiley online library,Ben Cowling,1750-2659,1750-2659,3.094
Influenza Res Treat,Influenza Research and Treatment,Hindawi,not found,2090-1380,2090-1380,
Innovative Biosystems and Bioengineering,Innovative Biosystems and Bioengineering,National Technical University of Ukraine,Alexander Galkin,not found,2616-177X,
Inquiry,Inquiry  ,"	",,,,
"Excellus Health Plan""","	Kevin P. Kane","	0046-9580",1945-7243,0.842,FALSE,
Insect Mol Biol,Insect Molecular Biology,"	Blackwell Publishing Inc.","Jennifer Brisson, Zhijian Tu and Mark J.I. Paine",13652583,9621075,2.437
Insects,Insects  ,"	",,,,
"MDPI""",Dr. Brian T. Forschler,not found,"	2075-4450",2.139,FALSE,
Insights Imaging,Insights into Imaging,springer,Luis Martí-Bonmatí,not found,1869-4101,1.92
Int Arch Med,International Archives of Medicine,"	",,,,
"iMed.pub""",BioMed CT,        1755-7682,        1755-7682,,FALSE,
Int Arch Otorhinolaryngol,International Archives of Otorhinolaryngolog,Thieme Medical Publishers,Geraldo Pereira Jotz - ULBRA / UFRGS - Porto Alegre - RS – Brasil,,,
 ,,,,,,
Int Braz J Urol,International Brazillian Jounral of Urology,"	Brazilian Society of Urology",Luciano A,1677-5538,1677-6119,1.097
Int Health,International Health  ,Oxford University Press,Professor David Molyneu,"	1876-3413",2010243140,1.797
Int Immunopharmacol,International Immunopharmacology,Elsevier BV,Talmadge,15675769,15675769,3.361
Int J Alzheimers Dis,International Journal of Alzheimers Disease,Hindawi Publishing Corporation,"George Perry, PhD",2090-802,2090-0252,3.517
Int J Ayurveda Res,International journal of Ayurveda Research,Medknow Publications,Dr. Shalini Sharma ,0974925X,9747788,1
Int J Bacteriol,International journal of Bacteriology,"	",,,,
"American Society for Microbiology""","	Thomas J. Silhavy","	0021-9193",1098-5530,3.219,FALSE,
Int J Behav Med,International Journal of Behavioral Medicine  ,"	",,,,
"Springer Science+Business Media""","	Michael A. Hoyt",,,,,
"Tracey A. Revenson""","	1070-5503",1532-7558,2.012,FALSE,,
Int J Biol Sci,International Journal of Biological Sciences ,"	",,,,
"Ivyspring International Publisher""",Chuxia Deng,"	1449-2288","	1449-2288",3.873,FALSE,
Int J Biomed Sci,International journal of biomedical science,"	Master Publishing Group",Daniel Dennis Taub,15552810,15509702,4.091
Int J Cancer,International Journal of Cancer ,        ,,,,
"John Wiley & Sons on behalf of the Union for International Cancer Control""","	Peter Lichter","	0020-7136",1097-0215,7.36,FALSE,
Int J Cell Biol,International Journal of cell biology,Hindawi Publishing Corporation, Sergio Schenkman,16878876,16878884,
Int J Chron Obstruct Pulmon Dis,International Journal of Chronic Obstructive Pulmonary Disease,DovePress,Dr Russell,1176-9106,not found,3.553
Int J Circumpolar Health,International Journal of Circumpolar Health  ,"	",,,,
"Co-Action Publishing on behalf of the Circumpolar Health Research Network""",Kue Young,"	1239-9736",2242-3982,0.707,FALSE,
Int J Clin Pract,International Journal of Clinical Practice  ,John Wiley & Sons,"	Leslie Citrome",not found,"	1742-1241",2.613
Int J Crit Illn Inj Sci,International journal of critical illness and injury science,Medknow Publications and Media Pvt. Ltd,"Sagar Galwanka, Andrew C. Miller,Stanislaw P. Stawicki",22295151,22315004,
Int J Emerg Med,international journal of emergency medicine,BMC,Stephen Hayden,0736-4679,1865-1380,
Int J Endocrinol,international journal of endocrinology,Hindawi,"Prof. Fereidoun Azizi, Dr. Azita Zadeh Vakili",1687-8337,1687-8345,2.287
Int J Environ Res Public Health,International Journal of Environmental Research and Public Health,MDPI,Prof. Dr. Paul B. Tchounwou,1661-7827,1660-4601,2.468
Int J Epidemiol,International Journal of Epidemiology  ,"	",,,,
"Oxford University Press""","	Stephen Leeder","	0300-5771",1464-3685,7.339,FALSE,
Int J Equity Health,International Journal for Equity in Health,BMC springer nature,"Efrat Shadmi, Leiyu Shi",not found,1475-9276,2.988
Int J Gen Med,International Journal of General Medicine  ,Dove Medical Press,"	Scott Fraser","	1178-7074","	1178-7074",
Int J Genomics,international journal of genomics,Hindawi,Corey Nislow,2577-0616,2577-0616,2.303
Int J Health Geogr,international journal of health geographics,springer nature,Maged N. Kamel Boulos,‎1476-072X,‎1476-072X,3.392
Int J Health Policy Manag,international journal of health policy and management ,Kerman University of Medical Science,not found,23225939,23225939,2.075
Int J Health Sci (Qassim),international journal of health science,"	Renaissance Medical Publishing",not found, 2372-5060 ,2372-5079,0.49
Int J Hyg Environ Health,International Journal of Hygiene and Environmental Health, Elsevier,"Antonia Calafat, Holger Koch", 1438-4639, 1438-4639,4.769
Int J Hypertens,International Journal of Hypertension ,Hindawi,Franco Veglio,2090-0384 ,2090-0392,1.865
Int J Infect Dis,International Journal of Infectious Diseases,elsevier,Eskild Petersen,1201-9712,not found,3.538
Int J Inflam,international journal of inflammation,Hindawi,no chief editor ,2090-8040,2042-0099,
Int J MCH AIDS,"""International Journal of Maternal and Child Health and AIDS"".",IJMA,Romuladus E. Azuin,"	2161-864X","	2161-864X",0.43
Int J Med Chem,International Journal of Medicinal Chemistry,Hindawi,"Gunda I. Georg, Shaomeng Wang",0022-2623,1520-4804,6.054
Int J Med Sci,International Journal of Medical Sciences,"	",,,,
"Ivyspring International Publisher""","	Dennis D. Taub","	1449-1907","	1449-1907",2.399,FALSE,
Int J Ment Health Syst,International Journal of Mental Health Systems,BMC springer nature,"Harry Minas,",not found, 1752-4458,2.264
Int J Microbiol,International Journal of Microbiology,Hindawi,Hidetoshi Urakawa,1687-918X,1687-9198 ,3.362
Int J Mol Med,International Journal of Molecular Medicine  ,"	",,,,
"Spandidos Publications""",DEMETRIOS A. SPANDIDOS,"	1107-3756",1791-244X,1.88,FALSE,
Int J Mol Sci,International Journal of Molecular Sciences ,        ,,,,
"MDPI""",Prof. Dr. Maurizio Battino,"	1422-0067","	1422-0067",4.183,FALSE,
Int J Nanomedicine,International Journal of Nanomedicine,DovePress,Dr Thomas J Webste,not found,1178-2013,5.029
Int J Nurs Sci,International Journal of Nursing Sciences,elsevier,"Xiuhua Li, Hiroko Minami, Rosemary Bryant", 2352-0132,2532-0132,0.89
Int J Occup Environ Med,the international journal of occupational and environmental medicine,wolters kluwer,"Paul W. Brandt-Rauf, MD, ScD, DrPH", 1076-2752,1536-5948,1.591
Int J Oncol,International Journal of Oncology,"	",,,,
"Spandidos Publications""","	Demetrios A. Spandidos","	1019-6439",1791-2423,3.079,FALSE,
Int J Oral Sci,international journal of oral science,nature,Cun-yu Wang ,1674-2818,2049-3169.,3.977
Int J Parasitol Drugs Drug Resist,The International Journal for Parasitology – Drugs and Drug Resistance,elsevier,"Andrew Kotze, Kevin Saliba",not found,2211-3207,2.951
Int J Parasitol Parasites Wildl,International Journal for Parasitology: Parasites and Wildlife,elsevier,Andrew Thompson,not found, 2213-2244,2.075
Int J Pediatr,International Journal of Pediatrics,hindawi,not found,1687-9740,1687-9759,1.125
Int J Pept,International Journal of Peptide Research and Therapeutics,springer,"Fernando Albericio, John D. Wade",not found,1573-3904,0.996
Int J Prev Med,International Journal of Preventive Medicine,wolters kluwer,KELISHADI Roya,2008-7802,2008-8213,0.73
Int J Public Health,International Journal of Public Health,springer,"Nino Künzli, Andrea Madarasova Geckova, Olaf von dem Knesebeck",1661-8556,1661-8564,3.219
Int J Qual Stud Health Well-being,International Journal of Qualitative Studies on Health and Well-being,Taylor & Francis Group,Henrika Jormfeldt,not found,1748-2631,1.094
Int J Surg Case Rep,International Journal of Surgery Case Reports,elsevier,David Rosin,not found,2210-2612,0.62
Int J Telerehabil,international Journal of Telerehabilitation,"University Library System, University of Pittsburgh",Ellen R. Cohn,not found, 1945-2020,
Int J Vet Sci Med,International Journal of Veterinary Science and Medicine ,Taylor and Francis,Hussein A. Hussein,not found,2314-4599,1.378
Int Med Case Rep J,International Medical Case Reports Journal,DovePress,"Professor Ronald Prineas, Professor Scott Fraser",1179-142X,1179-142X,0.36
Int Nurs Rev,International Nursing Review,Wiley online library,Sue Turale,not found,1466-7657,1.562
Int Psychiatry,International Psychiatrists,MDPI,Ned H. Kalin,3211-3212,not found,2.24
Integr Cancer Ther,Integrative Cancer Therapies,"	",,,,
"Sage Publication""","	Keith I. Block",1534-7354,1552-695X,2.657,FALSE,
Intensive and Critical Care Nursing,Intensive and Critical Care Nursing,elsevier,Ms. Deborah Dawson,  0964-3397, 0964-3397,1.652
Intensive Care Med,Intensive Care Medicine,springer,Giuseppe Citerio,0342-4642,1432-1238,13.009
Intensive Care Med Exp,Intensive Care Medicine Experimental,springer,Peter Radermacher,2197-425X,2197-425X,13.009
Intensive Care Medicine,Intensive Care Medicine,springer,Giuseppe Citerio,0342-4642,1432-1238,13.009
Interdiscip Perspect Infect Dis,interdisciplinary Perspectives on Infectious ...,hindawi,none,1687-708X,1687-7098 ,
Intern Med,internal medicine journal ,wiley online library,Jeff Szer,not found,1445-5994,1.767
International journal of antimicrobial agents,International Journal of Antimicrobial Agents,elsevier," J.M. Rolain,",0924-8579,0924-8579,4.615
International Journal of Clinical Practice,International Journal of Clinical Practice  ,"	",,,,
"John Wiley & Sons""","	Leslie Citrome",not found,"	1742-1241",2.613,FALSE,
International Journal of Environmental Research and Public Health,International Journal of Environmental Research and Public Health, MDPI,Prof. Dr. Paul B. Tchounwou,1661-7827,1660-4601,2.948
International Journal of Epidemiology,International Journal of Epidemiology  ,"	",,,,
"Oxford University Press""","	Stephen Leeder","	0300-5771",1464-3685,7.339,FALSE,
International Journal of Hygiene and Environmental Health,International Journal of Hygiene and Environmental Health,elsevier,"Antonia Calafat, Holger Koch",1438-4639,not found,4.769
International Journal of Infectious Diseases,International Journal of Infectious Diseases,elsevier,Eskild Petersen,1201-9712,not found,3.538
International Journal of Interactive Multimedia and Artificial Intelligence,International Journal of Interactive Multimedia and Artificial Intelligence,Universidad Internacional de La Rioja,Dr. Rubén González Cresp,not found,1989-1660,
International Journal of Molecular Sciences,International Journal of Molecular Sciences,MDPI,"Prof. Dr. Maurizio Battino , Prof. Dr. Paschalis Alexandridis",1661-6596,1422-0067,4.183
